architecture,experiment_id,s,t,path_id,step_index,q1,q2,q3,q4,q5,q6,d_x,d_y,d_z,position_residual_m,corrector_iterations,correction_norm,step_reductions,rank_jp,rank_jpd,rank_jd_nred,chart_sigma_1,chart_sigma_2,chart_condition,pointing_sigma_1,pointing_sigma_2,pointing_condition,tangent_principal_angle_1,tangent_principal_angle_2,dist_ua_m,dist_ub_m,regular,label
URLikeAligned6R,ATR_EXP_023,0.0,-0.12,row_s=+0.000000_-t,4,0.35233853404028787,-0.46875147937200723,0.6540875504451211,0.28993701529935323,-0.297364258977942,0.7,-0.017498854389816465,-0.2976697855250566,0.954508506447434,5.721958498152797e-17,18,1.2980475692536867e-05,0,3,5,2,,,,,,,7.704300383123642e-05,0.0051904702503840815,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.0,-0.09,row_s=+0.000000_-t,3,0.35175388593706003,-0.45662269563066155,0.6284716243065315,0.2875677696749246,-0.3068864405487806,0.7,-0.03951385294108831,-0.30250640534995654,0.9523279530434869,6.206335383118183e-17,18,1.314345804399595e-05,0,3,5,2,0.9998254401899564,0.9989400104467906,1.0008863692853487,0.962554669859263,0.741861501201038,1.2974856739444403,7.399333153767299e-05,0.005255677604427616,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.0,-0.06,row_s=+0.000000_-t,2,0.35116811837074746,-0.4444523606499507,0.6025672126103727,0.28512057245361294,-0.3155131671040375,0.7,-0.06087698727815108,-0.3070701391453442,0.9497378175397644,1.1188630228279524e-16,18,1.3302335994832296e-05,0,3,5,2,0.9998211851922576,0.9995258472991211,1.0002954779948259,0.9645425120457167,0.7195768405259937,1.3404301774646594,7.054452078543506e-05,0.005319268399738565,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.0,-0.03,row_s=+0.000000_-t,1,0.35058296453502064,-0.4322436144055709,0.5764007327018725,0.2825972857118707,-0.32322408001081715,0.7,-0.0815413234409297,-0.3113547953277757,0.946788890934986,6.206335383118183e-17,18,1.3454213567120369e-05,0,3,5,2,0.9998734735842884,0.9998170286143889,1.0000564552996039,0.9663601089453742,0.6958591974229471,1.3887293758912769,6.689764754584067e-05,0.0053800911423620675,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.0,0.0,-s,0,0.35,-0.42,0.55,0.28,-0.33,0.7,-0.10146249696610761,-0.31535450105379514,0.9435342603077614,0.0,0,0.0,0,3,5,2,0.9999883698951478,0.9998131543700529,1.0001752482694681,0.9680313811242618,0.6707253805790725,1.4432604000887954,0.0,0.0,not_applicable,not_applicable,True,seed
URLikeAligned6R,ATR_EXP_023,0.0,0.03,row_s=+0.000000_+t,1,0.3494206301101938,-0.40772551949088187,0.5233941812449949,0.2773310403789524,-0.33582324708058775,0.7,-0.12059910597492705,-0.31906373532772475,0.9400288231946763,5.721958498152797e-17,18,1.369653129988167e-05,0,3,5,2,0.9998769211033514,0.9998095956508615,1.0000673382739902,0.9695798770648948,0.6442063847118539,1.5050764787104318,6.0588425602811155e-05,0.005479985032006277,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.0,0.06,row_s=+0.000000_+t,2,0.34884607840472315,-0.39542467951601856,0.4966137099273982,0.27459296954854345,-0.3406779849167218,0.7,-0.13891310282375846,-0.3224773652343301,0.9363287343531653,6.938893903907228e-17,18,1.3810804905340809e-05,0,3,5,2,0.9998064794056268,0.9995462120191035,1.0002603855463545,0.9710282663275431,0.6163491644045086,1.5754515823278694,5.7966350208807036e-05,0.0055254698847585675,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.0,0.09,row_s=+0.000000_+t,3,0.3482773763353377,-0.383102521323855,0.4696901538046521,0.2717885865457911,-0.34455058047787035,0.7,-0.15637017747892817,-0.32559068519419543,0.9324907899330604,1.3877787807814457e-17,18,1.3904321116817291e-05,0,3,5,2,0.999803933873167,0.9990041437415128,1.0008005874016286,0.9723978773121646,0.5872180257070516,1.6559401018749884,5.64086286332914e-05,0.005562615805462581,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.0,0.12,row_s=+0.000000_+t,4,0.3477153548399812,-0.3707646341156719,0.4426560348311601,0.2689209205923669,-0.3474299647328247,0.7,-0.17294011707582002,-0.3283994576521533,0.928571759273118,5.551115123125783e-17,18,1.3973188687744264e-05,0,3,5,2,,,,,,,5.625251705668271e-05,0.0055898694931834835,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.03,-0.12,row_s=+0.030000_-t,4,0.34702974593791136,-0.46888346844737655,0.6573749336965697,0.26068462570760276,-0.29873207370043775,0.7,-0.02537143702084184,-0.27111793503583015,0.9622116999316755,7.850462293418876e-17,18,1.2975858998866573e-05,0,3,5,2,,,,,,,8.091434398851702e-05,0.0051885356646672555,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.03,-0.09,row_s=+0.030000_-t,3,0.34645206630788755,-0.45676167561259723,0.6317578251732697,0.25828824527169175,-0.30825361563481335,0.7,-0.04750024210342472,-0.275909334529603,0.9600092531426704,1.1857187100668868e-16,18,1.3136339407639322e-05,0,3,5,2,0.9998256186170977,0.9989155648664438,1.0009110417162992,0.9614571190649717,0.7453803742752689,1.2898878911318177,7.772533670154949e-05,0.0052527582470505395,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.03,-0.06,row_s=+0.030000_-t,2,0.3458735772088026,-0.444598726783132,0.6058514779514287,0.2558213369507008,-0.3168798305252122,0.7,-0.06897719357568972,-0.28043375509029717,0.9573917984672613,1.3877787807814457e-16,18,1.3292850839705686e-05,0,3,5,2,0.9998214262451945,0.9995147725920003,1.0003068025221868,0.9634543750539966,0.7231559447444561,1.3322913018359483,7.410106248233993e-05,0.005315425928000014,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,0.03,-0.03,row_s=+0.030000_-t,1,0.34529582323164554,-0.4323977386728844,0.5796823485197857,0.2532856597245099,-0.32459053451330416,0.7,-0.08975539600629683,-0.2846842204592252,0.9544102176261925,5.721958498152797e-17,18,1.3442537737874282e-05,0,3,5,2,0.9998703929559926,0.9998173590019326,1.0000530436420036,0.9652780895018052,0.6994982407574771,1.3799578515830413,7.023441780979553e-05,0.005375403053786743,not_applicable,not_applicable,True,regular
