q6_rad,position_residual_m,pointing_residual,roll_angle_error_rad,roll_axis_misalignment
2.1816615649929121e+00,3.5480433327128857e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1991148575128552e+00,3.5640260967534684e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2165681500327987e+00,3.5797374464080989e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.2340214425527418e+00,3.5951761851966649e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.2514747350726849e+00,3.6103411373994407e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.2689280275926285e+00,3.6252311481465981e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2863813201125716e+00,3.6398450835061699e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3038346126325151e+00,3.6541818305704007e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.3212879051524582e+00,3.6682402975404947e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.3387411976724017e+00,3.6820194138097610e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3561944901923448e+00,3.6955181300451459e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3736477827122884e+00,3.7087354182671471e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.3911010752322315e+00,3.7216702719280952e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.4085543677521746e+00,3.7343217059888037e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.4260076602721181e+00,3.7466887569935887e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.4434609527920612e+00,3.7587704831436322e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.4609142453120048e+00,3.7705659643687120e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.4783675378319479e+00,3.7820743023972654e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.4958208303518914e+00,3.7932946208247949e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.5132741228718345e+00,3.8042260651806131e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.5307274153917780e+00,3.8148678029929051e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.5481807079117211e+00,3.8252190238521402e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.5656340004316642e+00,3.8352789394727707e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.5830872929516078e+00,3.8450467837532740e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.6005405854715509e+00,3.8545218128344910e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.6179938779914944e+00,3.8637033051562721e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.6354471705114375e+00,3.8725905615124297e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.6529004630313811e+00,3.8811829051039838e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.6703537555513241e+00,3.8894796815907046e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.6878070480712677e+00,3.8974802591409403e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.7052603405912108e+00,3.9051840284797308e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.7227136331111539e+00,3.9125904029352211e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.7401669256310974e+00,3.9196988184833179e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.7576202181510405e+00,3.9265087337906554e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.7750735106709841e+00,3.9330196302558150e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.7925268031909272e+00,3.9392310120488300e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.8099800957108707e+00,3.9451424061489236e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.8274333882308138e+00,3.9507533623805477e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.8448866807507573e+00,3.9560634534476648e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.8623399732707004e+00,3.9610722749662798e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.8797932657906435e+00,3.9657794454952384e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.8972465583105871e+00,3.9701846065652871e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.9146998508305302e+00,3.9742874227063484e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.9321531433504737e+00,3.9780875814730929e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.9496064358704168e+00,3.9815847934687121e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
2.9670597283903604e+00,3.9847787923669810e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.9845130209103035e+00,3.9876693349325101e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.0019663134302470e+00,3.9902562010392967e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.0194196059501901e+00,3.9925391936874659e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.0368728984701332e+00,3.9945181390182924e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.0543261909900767e+00,3.9961928863274307e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.0717794835100198e+00,3.9975633080763802e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.0892327760299634e+00,3.9986292999022274e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.1066860685499065e+00,3.9993907806255620e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.1241393610698500e+00,3.9998476922566827e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.1415926535897931e+00,3.9999999999999980e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.1590459461097367e+00,3.9998476922566827e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.1764992386296798e+00,3.9993907806255620e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.1939525311496229e+00,3.9986292999022274e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.2114058236695664e+00,3.9975633080763802e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.2288591161895095e+00,3.9961928863274307e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.2463124087094530e+00,3.9945181390182924e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.2637657012293961e+00,3.9925391936874659e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.2812189937493397e+00,3.9902562010392939e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.2986722862692828e+00,3.9876693349325101e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.3161255787892263e+00,3.9847787923669810e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.3335788713091694e+00,3.9815847934687149e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.3510321638291130e+00,3.9780875814730929e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.3684854563490561e+00,3.9742874227063484e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.3859387488689991e+00,3.9701846065652871e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.4033920413889427e+00,3.9657794454952384e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.4208453339088858e+00,3.9610722749662798e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.4382986264288293e+00,3.9560634534476648e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.4557519189487724e+00,3.9507533623805477e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.4732052114687160e+00,3.9451424061489236e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.4906585039886591e+00,3.9392310120488300e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
